word
swap file
run out
thrashing
compaction
free space
logical partition
paging
paging technique
memory bound
CPU-bound
limit
virtual ram
full
building block
classification threshold
training step
negative class
positive class
binary category
independent variable
univariate linear regression
prototype
I/O bound
I/O intensive
amount
memory management scheme
free memory
available memory
return address
code density
threaded code
widget toolkit
panel
multiple-document interface
penalizing
penalization
hyperparameter tuning
trial and error
model tuning
early stopping
generalize
lambda
regularization rate
generalization curve
L1 regularization
L2 regularization
modal window
pop-up notification
listen
web resource
software component
pre-installed software
program state
stateful
image
restore disc
factory reset
graphical control element
computational complexity
model complexity
structural risk minimization
regularization
tainted
man page
kernel panic
init
hack
guru
distribution
sysadmin
stderr
background program
remote
similarity measure
unsupervised anomaly detection
supervised anomaly detection
start up
dynamic loading
factory preset
control program
program control
persistent storage
dynamic linker
accessor method
mutator method
SQL alias
bulk loading
bulk loader
extraction
email prefix
email footer
email signature
project
projects structure
pure
"Abort, Retry, Fail?"
machine error
destination host unreachable
feneral protection fault
hardware conflict
write-protection
read right
write error
user error
read error
intermittent error
time-out
fatal error
system error
soft error
fatal exception
collective anomaly
contextual anomaly
point anomaly
no correlation
negative correlation
positive correlation
dummy variable trap
multicollinearity
category
dummy variable
anomaly detection
one hot encoding
one-hot vector
domain knowledge
OVV
out-of-vocabulary
n-gram
subword
subword tokenization
character tokenization
directory structure
boilerplate code
binary transfer
ASCII transfer
cross assembler
target computer
conflicting dependencies
circular dependency
diamond dependency
point-in-time consistency
application consistency
transaction consistency
data consistency
typo
sanitize
clean input
sanitization
HTML sanitization
staging server
development server
server hog
unbalanced parenthesis
top-down parsing
root
bottom-up parsing
noise word
opening brace
syntax analyser
data parsing
external device
portability
expand
lexical analyzer
lexical phase error
power down
idle time
user time
idle user
idle process
idle
set difference operation
intersection operation
union operation
compatible relation
arity
full outer join
right outer join
left outer join
outer join
natural join
equi join
theta join
inner join
join operation
alias
call by name
function composition
actual parameter
parameter passing
polymorphic method
parse error
critical error
hard error
Help menu
attach
responsive
lock up
lock
audio track
data transmission
intelligent database
remote drive
local drive
local resource
remote resource
infected file
time bomb
logic bomb
error code
modifier key
command button
calculation error
mechanical computer
mechanical drive
holographic storage
resource intensive
intensive
long term memory
short term memory
hardware encryption
unscramble
scramble
software encryption
semiconductor memory
indicator
build into
offline storage
highlight
non-volatile
volatility
datum
word tokenization
character-based vocabulary
vocabulary
text corpus
ordinal encoding
ordinal variable
nominal variable
ordinal categorical variable
nominal categorical variable
feature cross
synthetic feature
feature space
linear problem
click-through rate
feature column
pipeline
objective
feature set
neuron
NaN trap
binary feature
model selection
model evaluation
loss function
supervised learning
ready suspended state
waiting state
waiting suspended state
running state
ready state
new state
dispatch latency
lead time
arrival time
exit time
burst time
load average
waiting time
turnaround time
CPU scheduler
resource hog
memory hog
consume
physical server
virtual server
live server
staging environment
live environment
low level
live site
local development environment
requester
core
human-readable URL
asset
dependency hell
DLL hell
lexical token
porting
report
missing semicolon
memory capacity
CPU time
error handling
physical media
distribution time
installation time
fix bug
edit time
program lifecycle phase
relocatable code
code generation
intermediate code generation
parameter compatibility
expression compatibility
assignment compatibility
type compatibility
